Fish Species,Feeding habit,Taxonomy,Unassigned_sequence_percentage,Species_abbre1,Species_abbre2
Nematalosa nasus,Omnivore,Family,37.5846568,N.n.,N. nasus
Nemipterus japonicus,Carnivore,Family,17.95409374,N.j.,N. japonicus
Ostorhinchus fasciatus,Carnivore,Family,21.09946187,O.f.,O. fasciatus
Parachaeturichthys polynema,Zooplanktivore/Omnivore,Family,53.00327273,P.p.,P. polynema
Pennihia argentata,Carnivore,Family,25.26800137,P.a.,P. argentata
Platycephalus indicus,Carnivore,Family,8.123430721,P.i.,P. indicus
Pseudorhombus oligodon,Carnivore,Family,9.982248377,P.o.,P. oligodon
Saurida elongata,Carnivore,Family,12.99483463,S.e.,S. elongata
Siganus canaliculatus,Herbivore/Omnivore,Family,15.09452312,S.c.,S. canaliculatus
Sillago sihama,Carnivore,Family,29.6320909,S.s.,S. sihama
Solea ovata,Carnivore,Family,52.7856786,S.o.,S. ovata
Thryssa chefuensis,Zooplanktivore,Family,9.542961609,T.c.,T. chefuensis
Acanthopagrus schlegelii schlegelii,Carnivore,Genus,8.010012516,A.s.s,A. s. schlegelii
Arnoglossus japonicus,Carnivore,Genus,51.2862804,A.j.,A. japonicus
Collichthys lucidus,Carnivore,Genus,33.91000957,C.l.,C. lucidus
Cynoglossus arel,Carnivore,Genus,54.76902793,C.a.,C. arel
Gerres oblongus,Carnivore,Genus,37.04189138,G.o.,G. oblongus
Inegocia japonica,Carnivore,Genus,19.31543205,I.j.,I. japonica
Johnius heterolepis,Carnivore,Genus,33.14680347,J.h.,J. heterolepis
Myersina filifer,Carnivore,Genus,53.91268466,M.f.,M. filifer
Nematalosa nasus,Omnivore,Genus,73.15367692,N.n.,N. nasus
Nemipterus japonicus,Carnivore,Genus,28.68675471,N.j.,N. japonicus
Ostorhinchus fasciatus,Carnivore,Genus,48.62765297,O.f.,O. fasciatus
Parachaeturichthys polynema,Zooplanktivore/Omnivore,Genus,75.35688165,P.p.,P. polynema
Pennihia argentata,Carnivore,Genus,46.41611948,P.a.,P. argentata
Platycephalus indicus,Carnivore,Genus,19.46156123,P.i.,P. indicus
Pseudorhombus oligodon,Carnivore,Genus,19.56425625,P.o.,P. oligodon
Saurida elongata,Carnivore,Genus,25.697257,S.e.,S. elongata
Siganus canaliculatus,Herbivore/Omnivore,Genus,78.07335613,S.c.,S. canaliculatus
Sillago sihama,Carnivore,Genus,51.25127974,S.s.,S. sihama
Solea ovata,Carnivore,Genus,76.83457739,S.o.,S. ovata
Thryssa chefuensis,Zooplanktivore,Genus,26.70932358,T.c.,T. chefuensis
