Herbivore/Omnivore,Piscivore,Zoobenthivore,Zoobenthivore/Piscivore,Zooplanktivore/Zoobenthivore,HOOV_pre,ZPZB_pre,ZB_pre,ZBPV_pre,PV_pre,Kingdom,Phylum,Class,Order,Family,Genus,Species
8d60f975e8277c2aecfe550c93420201,0,0,0,3.837847e-05,0,0,0,0,0.0212765957446809,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,,
0ceefad869f9a2bdc2e8300191756c06,0,0,0,0.0002923384,0,0,0,0,0.0212765957446809,0,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,
f7fcf157e7bd8ab4d47cd71f5a4ddd12,0,0,2.490052e-05,0,0,0,0,0.027027027027027,0,0,Bacteria,Proteobacteria,Deltaproteobacteria,NB1-j,,,
09f8d830ae9f118da2e787734b3b2aec,8.574067e-05,0,0,0,0,0.0714285714285714,0,0,0,0,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,,
0aaf8538ef386c2d5a9aa79005db8fbd,0,0,0,0,6.459948e-05,0,0.125,0,0,0,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,,
b958ab6c955c7cdc3fa3bf9969c080d7,0,0,0.0001410242,0,0,0,0,0.027027027027027,0,0,Bacteria,GN02,BD1-5,,,,
be1722b625951bcd0f971f482502cff4,0,0,0.0002015173,0,0,0,0,0.027027027027027,0,0,Bacteria,Tenericutes,Mollicutes,,,,
fa70176a26274b242fb7fe11332dfb6c,0,0,8.328822e-05,0,0,0,0,0.027027027027027,0,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Mesorhizobium,
35650b52ef13e124ed568d38af97928a,0,0,5.604234e-05,0,0,0,0,0.027027027027027,0,0,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Nocardiaceae,Rhodococcus,
9925b2905bbba0e732fb21f12655262c,0.0001298997,0,0,0,0,0.0714285714285714,0,0,0,0,Bacteria,Chloroflexi,Anaerolineae,,,,
c19c8b70f2878ee661002b136cd85b82,0,0,0,2.477165e-05,0,0,0,0,0.0212765957446809,0,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,perfringens
7a6ea49f2a2e174a6cf3725f6ba5f733,0,0,7.060079e-05,0,0,0,0,0.027027027027027,0,0,Bacteria,Firmicutes,Clostridia,Clostridiales,[Tissierellaceae],Peptoniphilus,
b9a0c872779a452eb66ca3d9ede150fa,0,0,0,3.474912e-05,0,0,0,0,0.0212765957446809,0,Bacteria,SBR1093,VHS-B5-50,,,,
06ad525ac018ac8fe971cde87cc0d75e,0,0,0,0,0.0004741626,0,0.125,0,0,0,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,,,
0c37d18e030ce9162dc033b80b7617c5,0,0,0,0,0.0005099485,0,0.125,0,0,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Ruegeria,lacuscaerulensis
3f4598d454013a1d285029f3f1b0b3de,0,0,0,0,6.482842e-05,0,0.125,0,0,0,Bacteria,Acidobacteria,Acidobacteria-6,CCU21,,,
8adb24293a8c09fb57123b509864039b,0,0,0,2.307935e-05,0,0,0,0,0.0212765957446809,0,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Photobacterium,
19e9f58ba1ee3464c03438a0d75ce8c9,0,0.0005311239,0.0003155985,0,0,0,0,0.027027027027027,0,0.111111111111111,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,
04adfc5d79a1ecb865163d3e0cc50ff6,0,0,4.095832e-05,0,0,0,0,0.027027027027027,0,0,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,,,
2ec6588b190f292cfb0167d1d881ff59,0,0.0003587701,0,0,0,0,0,0,0,0.111111111111111,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Lutimonas,
6b898edbf046c2a53880ea37f935ef7f,0.0001151661,0,0.0001518274,0,0,0.0714285714285714,0,0.027027027027027,0,0,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,Desulfotalea,
3d78c1669bdadaeb11e3be167c3b9b3e,0,0,0.0002002382,0,0,0,0,0.027027027027027,0,0,Bacteria,Chlamydiae,Chlamydiia,Chlamydiales,,,
2f824d54a41cbe8a4f2187741fbd10e4,0,0.0002222652,0.0001401208,0,0,0,0,0.027027027027027,0,0.111111111111111,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,,,
4b55c4791b11354197c64975612d7d0a,0,0,0.0001272276,0,0,0,0,0.0540540540540541,0,0,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,,,
30068036715123bb207cf1d0c106d81a,0,0,0,0,0.0002077946,0,0.125,0,0,0,Bacteria,Lentisphaerae,[Lentisphaeria],Victivallales,Victivallaceae,,
395d955039d87a15e9554d88ca59b4a5,0,0,8.329497e-05,0,0,0,0,0.027027027027027,0,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,,,
ddb529c962effab150d6f23cbf2b5e6f,0,0,0,8.68728e-06,0,0,0,0,0.0212765957446809,0,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,OM60,,
610665476de754a3f34dba70e769c174,0,0,0.0005673417,0,0,0,0,0.027027027027027,0,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,,
73659c6464d24dc3ccc1cd6ccb151ba5,0,0,0,3.318977e-05,0,0,0,0,0.0212765957446809,0,Bacteria,Proteobacteria,Deltaproteobacteria,GMD14H09,,,
b098648810bb18a554c5421d0abf215a,0,0,0.0001478366,6.44272e-05,0,0,0,0.027027027027027,0.0212765957446809,0,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,[Weeksellaceae],Chryseobacterium,
d08f6d611d1cecc71f77082634d1704c,0,0,0,0.0002589337,0,0,0,0,0.0212765957446809,0,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Propionibacteriaceae,Microlunatus,
56f8910ab1bf74ea8c5fb021bfaff43d,0.0005150147,0,0,0,0,0.0714285714285714,0,0,0,0,Bacteria,Proteobacteria,Alphaproteobacteria,,,,
797f749953e7ce4c109246f7e930c359,0,0,0,2.702362e-05,0,0,0,0,0.0212765957446809,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Methylobacterium,adhaesivum
df2a90e46206187fef83c11b0a0770e2,0,0,2.122912e-05,0,0,0,0,0.027027027027027,0,0,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,
e8d269b73cd77154c4a9b6883a08cc55,0,0,5.72712e-05,0,0,0,0,0.027027027027027,0,0,Bacteria,Chloroflexi,Ellin6529,,,,
224ef3d10612617455dfc286f8f331f7,0.0001188495,0,6.863039e-05,0.002112601,0,0.0714285714285714,0,0.027027027027027,0.0212765957446809,0,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Francisellaceae,,
c3755485e2c03651d1fdf7cc865dc204,0,0,0.0001907464,5.526135e-05,0,0,0,0.027027027027027,0.0425531914893617,0,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,
06411f63d1e6bc968e103eee79e9a512,0,0,0,0,0.0001944853,0,0.125,0,0,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,,
14a678ad77e42b5572d0e5509d824987,0,0.0001265765,0,0,0,0,0,0,0,0.111111111111111,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,,
457bd574977bf3d34d62d1f164779b4c,0,0.0002018271,0,0,0,0,0,0,0,0.111111111111111,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Lysobacter,
71d86dbec4eab0d75e15f31955970470,0,0.0003145714,0.0001746662,0.0002349013,0,0,0,0.027027027027027,0.0638297872340425,0.111111111111111,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,[Weeksellaceae],Chryseobacterium,
64a9304c83031223f280c768acb9bf98,0,0,0.0001006613,0,0,0,0,0.0540540540540541,0,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,,,
81ac13c3e1191d5179d313264c7c151f,0,0.0002867939,0,0,0,0,0,0,0,0.111111111111111,Bacteria,Acidobacteria,OS-K,,,,
3a0077b4fa553a5fc77d688a53733f65,7.090644e-05,0,0,0,0,0.0714285714285714,0,0,0,0,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Bilophila,
25f8884feafe011b6e82a909c729f19d,0,0,0,1.21411e-05,0,0,0,0,0.0212765957446809,0,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Verrucomicrobium,
e0b3ab9c473d29b47344a9c1ab09daf5,0,0,0.0005205095,4.22936e-05,0,0,0,0.0540540540540541,0.0212765957446809,0,Bacteria,Proteobacteria,Betaproteobacteria,Methylophilales,Methylophilaceae,Methylotenera,mobilis
089fc8756acf1c557e902983763e85ed,0.0001870445,0,0,0,0,0.0714285714285714,0,0,0,0,Bacteria,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophaceae,Desulfobacca,
4306286ace367e51927bdd65dd80cd68,0,0.000480752,0,0,0,0,0,0,0,0.111111111111111,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,,
067cb39fcb644744865963112bdabe2c,0,0.0003026582,0.0001200114,0.0001306218,3.463243e-05,0,0.125,0.162162162162162,0.170212765957447,0.333333333333333,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,guillouiae
cf310e682c6c4da4d10900903b9645b7,0,0,0,0.0001343239,0,0,0,0,0.0212765957446809,0,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Salinispora,
12b2891bd750ba11663813b20dd6cdc7,0,0,0,9.993704e-06,0,0,0,0,0.0212765957446809,0,Bacteria,Acidobacteria,Sva0725,Sva0725,,,
bb815061bc27a202c2860a05341b1c71,0,0,0,0.0001250951,0,0,0,0,0.0212765957446809,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,,
f75779ee5ab0135d3fcd2666eb65bf75,0,0.0002224375,0,3.77723e-05,0,0,0,0,0.0212765957446809,0.111111111111111,Bacteria,Chloroflexi,Anaerolineae,S0208,,,
3cf6b0a09f0831b3139ec34ccca55a4e,0,0,9.450815e-05,0,0,0,0,0.027027027027027,0,0,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,,
48e01e399fef283f4d8bb51aa00911f8,0,0,3.240879e-05,0,0,0,0,0.027027027027027,0,0,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,koll13,,
db188905bca36b1f148bfac699549637,0,0,8.879302e-05,0,0,0,0,0.027027027027027,0,0,Bacteria,Chloroflexi,Anaerolineae,MSB-1E9,,,
e7ffc2979f2a734e4c1e45c1b395429b,0,0,3.251791e-05,0,0,0,0,0.027027027027027,0,0,Bacteria,Actinobacteria,OPB41,,,,
2ac764f9004e5b622dbbb352160d2d17,0,0.0001004556,0,0,0,0,0,0,0,0.111111111111111,Bacteria,Proteobacteria,Alphaproteobacteria,,,,
f5c66b049ff0e137c12873889d193507,0,0,4.855362e-05,3.967237e-05,0,0,0,0.027027027027027,0.0212765957446809,0,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,,,
b0523486699cc7b296d0e77af9312c6d,0,0,0.0001475249,0,0,0,0,0.027027027027027,0,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,,
3d35dacef7b686381ca7e27f3263beee,0,0,0,7.929135e-05,0,0,0,0,0.0638297872340425,0,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,,
2254d6b98968e9af1456f5a01eb2e8d1,0,0,0,3.506581e-05,0,0,0,0,0.0212765957446809,0,Bacteria,Synergistetes,Synergistia,Synergistales,Aminiphilaceae,,
ff013ff7231ff2cb0ffc67a03bdd1af8,0,0,0,0,0.0001363778,0,0.125,0,0,0,Bacteria,Planctomycetes,Phycisphaerae,Phycisphaerales,,,
ea28982ec6d96cddf16c36388e1dad8c,0.0005195705,0,0,0,0,0.0714285714285714,0,0,0,0,Bacteria,Acidobacteria,Sva0725,Sva0725,,,
4797aa2cfdaf98b394561880c7999767,0,0,0,0.0001006296,0,0,0,0,0.0212765957446809,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,
8ad4be6a20286e9698d0ca3e3e3c93bf,0,0.0009543286,0.0004581696,0.0003089472,0,0,0,0.027027027027027,0.0212765957446809,0.111111111111111,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Desulfococcus,
6a9c7df0404e213873032ac3d5b36266,0,0,4.298623e-05,0,0,0,0,0.027027027027027,0,0,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Emticicia,
e930124dbb46cb531fc0b116b6f1d3c7,0,0,0.0001611027,8.094119e-05,0,0,0,0.027027027027027,0.0212765957446809,0,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Desulfococcus,
5e4918a595506b2fbeaa4dbeb4006bf5,0,0,2.13906e-05,0,0,0,0,0.027027027027027,0,0,Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,,
260a40d470ba5afcc79d1a9070ceade1,0,0,0,0,8.613264e-05,0,0.125,0,0,0,Bacteria,Acidobacteria,Acidobacteria-6,CCU21,,,
2ee99d4bdc911e9f033bb1b8deef1394,0,0,4.384719e-05,0,0,0,0,0.027027027027027,0,0,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,wb1_P06,,
947f43a9fcd6ac8b94a05238a8689d6b,0.0004345027,0,2.077404e-05,8.108128e-05,0.0007394865,0.142857142857143,0.25,0.027027027027027,0.0212765957446809,0,Bacteria,Proteobacteria,Alphaproteobacteria,,,,
696ea075764903e8b2534cff2c068331,0,0,8.138821e-05,6.829031e-05,0,0,0,0.027027027027027,0.0212765957446809,0,Bacteria,Chloroflexi,Ellin6529,,,,
3b2142066cc9dbf7a76bb93328628abd,0.0002475066,0,0,0,0,0.0714285714285714,0,0,0,0,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,,
dc28e5b67b5ce809b974d95c1aa4f56c,0,0,0.0001055902,0,0,0,0,0.0540540540540541,0,0,Bacteria,Gemmatimonadetes,Gemm-4,,,,
7cfd28598f80abba507e191b220bd941,0,0,0,1.737495e-05,0,0,0,0,0.0212765957446809,0,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,C111,,
e04336d22eb0db88765d25d0ba689f8a,0,0,2.568358e-05,0,0,0,0,0.027027027027027,0,0,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Photobacterium,
7b55c7d50fb2434b1d2d92cbe7581d99,0,0,0,0,0.0002910141,0,0.25,0,0,0,Bacteria,Acidobacteria,Sva0725,Sva0725,,,
1eb41868c8eef378f4973fedb3363f72,0.0002957562,0,0,0,0,0.0714285714285714,0,0,0,0,Bacteria,Firmicutes,Clostridia,Clostridiales,Christensenellaceae,,
b4bc11b04e7d1416644c4002bf1adc3f,0,0,2.843952e-05,0,0,0,0,0.027027027027027,0,0,Bacteria,Firmicutes,Erysipelotrichi,Erysipelotrichales,Erysipelotrichaceae,Erysipelothrix,
bda358f3dc0123059c2f36170bc905db,0.000166351,0,0.0003641161,0,0,0.0714285714285714,0,0.0540540540540541,0,0,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,,,
dff0ce2f4f9712ad6f0f15e292a5f582,0,0,0,3.2182e-05,0,0,0,0,0.0212765957446809,0,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,,
c77d3a360a4031f54aac48564c5e6037,0,0,2.614844e-05,0,0,0,0,0.027027027027027,0,0,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingopyxis,
c70c62ce337d1b94924caf6e4d64fb2d,0.001033785,0,0,0,0,0.0714285714285714,0,0,0,0,Bacteria,Acidobacteria,Sva0725,Sva0725,,,
92e0f4f69601c23f9f56464835967ff4,0,0,7.013543e-05,0,0,0,0,0.027027027027027,0,0,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,subflava
2f7bccf2517027874f5decc2a6b2f3e6,0,0,8.538502e-05,0,0,0,0,0.027027027027027,0,0,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Flectobacillus,
b382c199bddf9fe322a8ad3d323a57ac,0,0,1.246442e-05,0,0,0,0,0.027027027027027,0,0,Bacteria,,,,,,
beb9a87fae0a1874b99bb7b0f2f0be59,0,0,0.0001904601,0,0.0002435318,0,0.125,0.027027027027027,0,0,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,
13d4f7286e5ba88d3a186e9b19b17174,0,0,0,2.336803e-05,0,0,0,0,0.0212765957446809,0,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,
6c8c76f3b1fd696b3c1fcddbea80c739,0,0,0,0,0.0002415545,0,0.125,0,0,0,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,OM60,,
dd32c208253c6f98113400c6b658cd8c,0,0,0,0,0.001969779,0,0.25,0,0,0,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,Desulfotalea,
77aa378f4c4ed108abfc620d494ab954,0,0,6.296069e-05,0,0,0,0,0.027027027027027,0,0,Bacteria,Chloroflexi,Anaerolineae,GCA004,,,
9e348110f9be933e03af7ae4fa49a860,0,0,2.436623e-05,0,0,0,0,0.027027027027027,0,0,Bacteria,Proteobacteria,Deltaproteobacteria,GMD14H09,,,
d620ea6758137a60318d0b0fffc90c99,0,0,0.0001917772,0,0,0,0,0.027027027027027,0,0,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,
4e648882cc1642ab298d9589817a811e,0,0,0,2.830203e-05,0,0,0,0,0.0212765957446809,0,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,,,
d62aa1e5c3b39fe4d856abe2f5a556aa,0,0,0.0001240231,0,0,0,0,0.027027027027027,0,0,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,,,
71fa65fbbc2d94d3f5e3a95504884f0c,0,0,0,3.051721e-05,0,0,0,0,0.0212765957446809,0,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,CandidatusPortiera,
f6dfbfd69176e4ea2fb243185188083a,0.0001122267,0,0,0,0,0.0714285714285714,0,0,0,0,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Coxiellaceae,,
4fd237a0d9f1448d3c806bd84e2c6bb1,0.0001841646,0,0,0,0,0.0714285714285714,0,0,0,0,Bacteria,Actinobacteria,,,,,
302c254e6663081671f60cacca81c223,0,0,0,6.679201e-06,0,0,0,0,0.0212765957446809,0,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,,
e5aa401b467551e6adfc2ee6c10660ff,0,0,0,0,0.0001404616,0,0.125,0,0,0,Bacteria,Chloroflexi,Ellin6529,,,,
674d544d79dae9183a66f3d228ae15a9,0,0.001164144,0.00106922,0.001075714,0,0,0,0.0540540540540541,0.148936170212766,0.111111111111111,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,,,
83369928dd07ea0b28987c725187e814,0,0,0,4.59396e-05,0,0,0,0,0.0212765957446809,0,Bacteria,,,,,,
c14d04dd8b7b9f6f265d3d295ad30d15,0,0,0,2.101392e-05,0,0,0,0,0.0212765957446809,0,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Serratia,marcescens
6516a325aed59555ca241ac26e897368,0,0,0.0001207679,0,0,0,0,0.027027027027027,0,0,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,,
681fab4e71249635a8f3dbe6fa69e5ba,0.0001945263,0,0.0001155221,0,0,0.0714285714285714,0,0.027027027027027,0,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,,
ff178cc88ec06e5d9f4e91b7b7613983,0,0,3.635457e-05,0,0,0,0,0.027027027027027,0,0,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Photobacterium,rosenbergii
8c362c4269de632e2939cd611caf63a2,0,0,0,1.306248e-05,0,0,0,0,0.0212765957446809,0,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,,,
ce364b6f53a98d0f315cc17ed7388786,0,0,0,0.0002521398,0,0,0,0,0.0212765957446809,0,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Denitrobacter,
76a9e77dec4f94b7ec2d2cefa3c0d9f8,6.494983e-05,0,0,0,0,0.0714285714285714,0,0,0,0,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,C111,,
c30651b41e126ba43435f9efe616572a,0.001333907,0.001772324,0.001665486,0,0,0.0714285714285714,0,0.0810810810810811,0,0.111111111111111,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Desulfococcus,
49b2478965c9594a0978e7f10257def2,0,0,2.077404e-05,0,0,0,0,0.027027027027027,0,0,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,OM60,,
324b3321e74edfbb0e72c3bab752a6bd,0,0,0,0,0.0004429942,0,0.125,0,0,0,Bacteria,Firmicutes,Bacilli,Haloplasmatales,Haloplasmataceae,,
efad31fc755c0a8e2b2ac7c87d567456,0,0,0,5.31472e-05,0,0,0,0,0.0212765957446809,0,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,,
e79a9ec30a87c256ae9a84f6c406bd42,0,0,0,1.349011e-05,0,0,0,0,0.0212765957446809,0,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Muricauda,
3af4b0a76d3feefceb25f7bc11af5ab7,0,0,0,0.00031406,0,0,0,0,0.0212765957446809,0,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,bryophila
682bfff6484954ba558923fa5131597b,0,0,0,0.0004492683,0,0,0,0,0.0212765957446809,0,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Francisellaceae,,
2f584b58d9ede4efd72ba8e36cd1c782,0,0,1.919657e-05,0,0,0,0,0.027027027027027,0,0,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,,,
0082652f33424ab01a1dc00732cdb128,0,0,0.0002219061,0,0,0,0,0.027027027027027,0,0,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,
5bbe42f0b0d3b8a5e61c80f8c7835c90,0,0,0.0004129071,0.0012566774,0,0,0,0.108108108108108,0.212765957446809,0,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,
00d35bfbea70e1ee9d4e91ea6cde8e3d,0,0.0003824092,0,0,0,0,0,0,0,0.111111111111111,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,
9369cce659ad9bc50745fca4df16d017,0,0,3.945551e-05,0,0,0,0,0.027027027027027,0,0,Bacteria,Chlamydiae,Chlamydiia,Chlamydiales,,,
fb6f934214e1e514652f68f2e6f73d62,0,0.001883571,6.204552e-05,5.107859e-05,0,0,0,0.027027027027027,0.0425531914893617,0.222222222222222,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Cetobacterium,
